session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Daniel DiCenso,College of the Holy Cross,Literacy and Transmission in the Earliest Mass-Chant Books: A Perspective from Neuroscience
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Henry Parkes,Yale University,Remembering or Dismembering? The Implications of Written Collections for Early Medieval Trope Performance
Musical Literacy in the Early Middle Ages ,AMS,Grand Ballroom A,Peter Jeffery,University of Notre Dame,NA,NA,Emma Hornby and Rebecca Maloy,University of Bristol / University of Colorado Boulder,Melodic Language and Musical Literacy in the Old Hispanic Chant
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Frank Heidlberger,University of North Texas,'What Is the History of Music Theory?' Dahlhaus's Essay and its Relevance for the Current Understanding of the Discipline
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Jan Philipp Sprick,"Hochschule fÃ¼r Musik und Theater, Rostock",On the Implicit and Explicit Reception of Dahlhaus's 'Was heiÃŸt Geschichte der Musiktheorie?'
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Nathan John Martin,University of Michigan,Dahlhaus's 'Was heiÃŸt Geschichte der
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,"Musiktheorie?' Between Kuhn and Weber"" Thomas Christensen",University of Chicago,Dahlhaus and the Origins of the Origin
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Stefano Mengozzi,University of Michigan,The History of Music Theory after Dahlhaus's Studies on the Origin of Harmonic Tonality: On the Relationship between Musical Concepts
History of Music Theory ,SMT,Junior Ballroom C,Frank Heidlberger,University of North Texas,Stephen Hinton,Stanford University,Gesine SchrÃ¶der,"UniversitÃ¤t fÃ¼r Musik und darstellende Kunst Wien/Hochschule fÃ¼r Musik und Theater ""Felix Mendelssohn Bartholdy""",Theorist and Teacher of Theory: Carl Dahlhaus as a Model for the Classroom Teaching of Music Theory at German Conservatories
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Lorenzo Candelaria,University of Texas at El Paso,Pedro de Gante and the Creation of Euro-Mexica Catholic Song in Sixteenth-Century New Spain
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Sarah Eyerly,Florida State University,Mozart and the Moravians
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Faith S. Lanam,"University of California, Santa Cruz","Mothers, Sisters, NiÃ±as, and Nuns: The Professional Training of Young Female Musicians of Colonial Mexico"
Colonial Music in the New World ,AMS,Grand Ballroom B,Louise K. Stein,University of Michigan,NA,NA,Alejandro Vera,Pontificia Universidad Catolica de Chile,The Globalization of Instrumental Music in the Late Eighteenth Century: Reception and Transmission of the Galant-Classical
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Martha E. Sullivan,Rutgers University,"The Siren Topos, Male Anxiety, and Female Agency"
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Johanna Frymoyer,Indiana University,Octatonic and Ombra: The Russian Supernatural as a Musical Topic
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Thomas Johnson,"Graduate Center, CUNY",Lying About Tonality: A New World of Topic in Early Twentieth-Century Modernist Music
Extending Topic Theory ,SMT,Pavilion Ballroom D,Danuta Mirka,University of Southampton,NA,NA,Daniel J. Thompson,Florida State University,A Topical Exploration of the Jazz Messengers' 1963 Recording 'One by One'
Century ,AMS,Pavilion Ballroom A,Caryl Clark,University of Toronto,NA,NA,Austin Glatthorn,Dalhousie University,"Out with the Old, In with the New: Music and Regime Change During the French Occupation of Mainz, 1792â€“93"
Century ,AMS,Pavilion Ballroom A,Caryl Clark,University of Toronto,NA,NA,Jenna Harmon,Northwestern University,"Silent Songs, Royal Orgies: Listening to the Political Pornography of the French Revolution"
Century ,AMS,Pavilion Ballroom A,Caryl Clark,University of Toronto,NA,NA,Erica Levenson,Cornell University,"From a Tune's-Eye View: French Theater Music in London, 1714â€“45"
Century ,AMS,Pavilion Ballroom A,Caryl Clark,University of Toronto,NA,NA,Diane Tisdall,King's College London,"Blood, Sweat, and Scales: The Birth of Modern Bureaucracy at the Paris Conservatoire"
Musical Histories of Modern Nationhood ,AMS,Junior Ballroom A/B,Richard Miller,University of Nevada-Las Vegas,NA,NA,Stephen Armstrong,"Eastman School of Music, University of Rochester",Japan's Messiaen: Sept HaÃ¯kaÃ¯ and the French-Japanese Cold War Connection
Musical Histories of Modern Nationhood ,AMS,Junior Ballroom A/B,Richard Miller,University of Nevada-Las Vegas,NA,NA,Danielle Fosler-Lussier,Ohio State University,Public-Private Cooperation in the Curation of America's Musical Diversity
Musical Histories of Modern Nationhood ,AMS,Junior Ballroom A/B,Richard Miller,University of Nevada-Las Vegas,NA,NA,Kunio Hara,University of South Carolina,"Music, Sound, and Nostalgia in Animated Films of Studio Ghibli"
Musical Histories of Modern Nationhood ,AMS,Junior Ballroom A/B,Richard Miller,University of Nevada-Las Vegas,NA,NA,Brooke McCorkle,SUNY Geneseo,Was ist Japanisch?: Wagnerism and Nationhood in Modern Japan
Nineteenth-Century Music and Social History ,AMS,Port McNeill,Halina Goldberg,Indiana University,NA,NA,Sara Ballance,"University of California, Santa Barbara",Nineteenth-Century GehÃ¶rbildung as a Means of Self-Cultivation
Nineteenth-Century Music and Social History ,AMS,Port McNeill,Halina Goldberg,Indiana University,NA,NA,Katherine Fry,London,The Reception of German Music and Philosophy in Victorian Britain: George Eliot as Music Critic and Translator ca. 1855
Nineteenth-Century Music and Social History ,AMS,Port McNeill,Halina Goldberg,Indiana University,NA,NA,Christine Kyprianides,IndyBaroque Music,Musical Crimes and Misdemeanors from the
Nineteenth-Century Music and Social History ,AMS,Port McNeill,Halina Goldberg,Indiana University,NA,NA,Wiebke Thormahlen,Royal College of Music,The Professionalization of Music and the Edification of Amateur Music-Making in Nineteenth-Century London: A Challenge to
Opera Exchanges ,AMS,Grand Ballroom C,Naomi AndrÃ©,University of Michigan,NA,NA,Katharina Clausius,University of Cambridge,The Poet's Prose: Dramma per musica after 'TÃ©lÃ©macomania'
Opera Exchanges ,AMS,Grand Ballroom C,Naomi AndrÃ©,University of Michigan,NA,NA,Caroline Anne Ellsmore,Melbourne,'Fra le quinte with Aida: Teresa Stolz Writes to Giuseppe Verdi'
Opera Exchanges ,AMS,Grand Ballroom C,Naomi AndrÃ©,University of Michigan,NA,NA,Edward Jacobson,"University of California, Berkeley",Reading at the Opera: The Case of Donizetti's Historicism
Opera Exchanges ,AMS,Grand Ballroom C,Naomi AndrÃ©,University of Michigan,NA,NA,Laura Moeckli,University of Bern,Analyzing Time Structures in Nineteenth-Century Opera
Modernism's Tensions ,AMS,Junior Ballroom D,Blake Howe,Louisiana State University,NA,NA,Christopher Chowrimootoo,University of Notre Dame,The Burning Fiery Furnace and the Redemption of Religious Kitsch
Modernism's Tensions ,AMS,Junior Ballroom D,Blake Howe,Louisiana State University,NA,NA,Ryan Dohoney,Northwestern University,"Antimodernism, Ultramodernism, and 'After Modernism'"
Modernism's Tensions ,AMS,Junior Ballroom D,Blake Howe,Louisiana State University,NA,NA,Erin K. Maher,Delaware Valley University,The Lens of Disability in Darius Milhaud's
Modernism's Tensions ,AMS,Junior Ballroom D,Blake Howe,Louisiana State University,NA,NA,"Postwar U.S. Reception"" Charissa Noble","University of California, Santa Cruz","Extended From What?: Confronting Constructions of Voice, Gender, and the Machine in the Canonization of 'Extended' Vocal Techniques through Joan La Barbara's Cathing"
Early Modern Performance ,AMS,Port Alberni,Daniel R. Melamed,Indiana University,NA,NA,Gregory Johnston,University of Toronto,Heinrich SchÃ¼tz's Musical Gift to the WolfenbÃ¼ttel Court: What the Partbooks Tell Us
Early Modern Performance ,AMS,Port Alberni,Daniel R. Melamed,Indiana University,NA,NA,Andrew Shryock,Boston Conservatory,Reviving Messiah: Handel's 1743 Oratorio Season
Logics of Late Modernism ,SMT,Pavilion Ballroom B,Robert Hasegawa,McGill University,NA,NA,Laurence Willis,McGill University,Harmonic Dualism in Ben Johnston's Ninth String Quartet
Logics of Late Modernism ,SMT,Pavilion Ballroom B,Robert Hasegawa,McGill University,NA,NA,Antares Boyle,University of British Columbia,"'Conoscere e riconoscere': Fragmentation, Repetition, and Formal Process in Sciarrino's Instrumental Music"
Corpus of Jembe Drum Music from Mali ,SMT,Pavilion Ballroom C,John Roeder,University of British Columbia,Kofi Agawu,Princeton University,Justin London,Carleton College,Statistical Learning and Rhythm-Meter Relationships in Jembe Drum Ensemble Music from Mali
Corpus of Jembe Drum Music from Mali ,SMT,Pavilion Ballroom C,John Roeder,University of British Columbia,Kofi Agawu,Princeton University,Rainer Polak,"Cologne University for Music and Dance, Germany",Non-Isochronous Beat Subdivision and Ensemble Synchronization in Jembe Drum Ensemble Music from Mali
Corpus of Jembe Drum Music from Mali ,SMT,Pavilion Ballroom C,John Roeder,University of British Columbia,Kofi Agawu,Princeton University,Nori Jacoby,Massachusetts Institute of Technology,Musical Roles and Individual Behavior in Ensemble Entrainment in Jembe Drum Ensemble Music from Mali
Race in Midtown ,AMS,Grand Ballroom D,Elizabeth Craf,University of Utah,NA,NA,Todd Decker,Washington University in St Louis,Jim Crow in Times Square: Racial Segregation as a Structural Element of Broadway Musical Theatre History
Race in Midtown ,AMS,Grand Ballroom D,Elizabeth Craf,University of Utah,NA,NA,Marian Smith,University of Oregon,"'A Dash of Hi-di-hi': Balanchine's Met Aida, 1935"
Enlightenment Tarantism ,AMS,Port Alberni,Elisabeth Le Guin,"University of California, Los Angeles",NA,NA,Virginia Georgallas,University of Toronto,"The Maniac's Affliction: Music, Madness, and Caprice in Late Eighteenth Century Spain"
Enlightenment Tarantism ,AMS,Port Alberni,Elisabeth Le Guin,"University of California, Los Angeles",NA,NA,Ana SÃ¡nchez-Rojo,Tulane University,Enlightened or Feverish? Tarantism and the Formation of Public Opinion in Spain
Minstrelsy ,AMS,Grand Ballroom D,Dale Cockrell,Vanderbilt University,NA,NA,David Blake,Stony Brook University,"Minstrelsy and the Yale College Man, 1845â€“75"
Minstrelsy ,AMS,Grand Ballroom D,Dale Cockrell,Vanderbilt University,NA,NA,Sean Lorre,McGill University,"1951 Britain in Black and White: The Minstrel Mask, Migration, and the Transatlantic Flow of Black Musics"
Performing Babbitt and Morris ,SMT,Pavilion Ballroom B,Andrew Mead,Indiana University,NA,NA,Zachary Bernstein,"Eastman School of Music, University of Rochester",Babbitt's Gestural Dialectics
Performing Babbitt and Morris ,SMT,Pavilion Ballroom B,Andrew Mead,Indiana University,NA,NA,Brian Alegan,Oberlin College & Conservatory,Once More with Feeling: Analyzing and Performing Robert Morris's Scraps
Positional Listening/Positional Analysis ,SMT,Pavilion Ballroom C,Mark Spicer,"Hunter College / Graduate Center, CUNY",Elizabeth Marvin,"Eastman School of Music, University of Rochester",John Covach,University of Rochester,A View from Guitar Land: Shifting Positional Listening in Complex Textures
Positional Listening/Positional Analysis ,SMT,Pavilion Ballroom C,Mark Spicer,"Hunter College / Graduate Center, CUNY",Elizabeth Marvin,"Eastman School of Music, University of Rochester",Kevin Holm-Hudson,University of Kentucky,Stratified Keyboard Harmony in the Music of Todd Rundgren
Positional Listening/Positional Analysis ,SMT,Pavilion Ballroom C,Mark Spicer,"Hunter College / Graduate Center, CUNY",Elizabeth Marvin,"Eastman School of Music, University of Rochester",Brad Osborn,University of Kansas,Metric Levels from Behind the Kit (and Elsewhere)
Positional Listening/Positional Analysis ,SMT,Pavilion Ballroom C,Mark Spicer,"Hunter College / Graduate Center, CUNY",Elizabeth Marvin,"Eastman School of Music, University of Rochester",Gregory R. McCandless,Appalachian State University,Attentional Cost and Positional Analysis: A Bassist's Perspective
Susanne Langer Reconsidered ,AMS,Pavilion Ballroom A,Michael Gallope,University of Minnesota,Holly Watkins,"Eastman School of Music, University of Rochester",Anne Pollok,University of South Carolina,To Feel Is Not to Say: Immediacy at the Center of Langer's Theory of Music as 'Living Form'
Susanne Langer Reconsidered ,AMS,Pavilion Ballroom A,Michael Gallope,University of Minnesota,Holly Watkins,"Eastman School of Music, University of Rochester",Bryan Parkhurs,University of South Florida,Right and Left Formalism
Susanne Langer Reconsidered ,AMS,Pavilion Ballroom A,Michael Gallope,University of Minnesota,Holly Watkins,"Eastman School of Music, University of Rochester",Eldritch Pries,New York University,Do Animals Get Earworms?
,AMS,Junior Ballroom D,Kate Galloway,Wesleyan University/Memorial University of Newfoundland,Alexander Rehding,Harvard University,William Cheng,Dartmouth College,Inspiration Porn: A Classroom Quandary
Music History Survey ,AMS,Grand Ballroom B,Mark Clague,University of Michigan,NA,NA,NA,NA,NA
Representation ,AMS,Port Alberni,Deborah Schwartz-Kates,University of Miami,NA,NA,NA,NA,NA
The Hermeneutics of Sonata Deformation ,SMT,Junior Ballroom C,Patrick McCreless,Yale University,NA,NA,James Hepokoski,Yale University,Shattering the Bonds of Nature: The Queen of the Night Invades Enemy Territory
The Hermeneutics of Sonata Deformation ,SMT,Junior Ballroom C,Patrick McCreless,Yale University,NA,NA,Charity Lofthouse,Hobart and William Smith Colleges,The Success of Russian 'Failure': Tonal and Post-Tonal Resolution in Twentieth-Century Russian Sonata Movements
The Hermeneutics of Sonata Deformation ,SMT,Junior Ballroom C,Patrick McCreless,Yale University,NA,NA,Stephen Gosden,University of North Florida,From Apotheosis to Breakthrough: Intertextuality and Climax in Rachmaninoff's Piano Concerto no. 4
The Hermeneutics of Sonata Deformation ,SMT,Junior Ballroom C,Patrick McCreless,Yale University,NA,NA,Rebecca Perry,Yale University,Between the Signposts: Thematic Interpolation and Structural Defamiliarization in Prokofiev's Sonata Process
Ligeti ,SMT,Pavilion Ballroom B,Jennifer Iverson,University of Chicago,NA,NA,Benjamin R. Levy,"University of California, Santa Barbara",Ligeti's Uses of Literature
Ligeti ,SMT,Pavilion Ballroom B,Jennifer Iverson,University of Chicago,NA,NA,Sara Bakker,Utah State University,Interpreting Flexible Repetition in the Late Works of GyÃ¶rgy Ligeti
Ligeti ,SMT,Pavilion Ballroom B,Jennifer Iverson,University of Chicago,NA,NA,John Cuciurean,University of Western Ontario,The Mysterious Case of GyÃ¶rgy Ligeti's 'L'arrache coeur'
Ligeti ,SMT,Pavilion Ballroom B,Jennifer Iverson,University of Chicago,NA,NA,Amy Bauer,"University of California, Irvine",Ligeti's Ã‰tudes and the Heroic Codes of Late Modernity
Ludomusicology outside Video Games ,AMS,Grand Ballroom C,Michael Austin,Howard University,NA,NA,Steven Beverburg Reale,Youngstown State University,Glass Beads and Graphic Analysis: A Ludist Account of Contemporary Music Theory
Ludomusicology outside Video Games ,AMS,Grand Ballroom C,Michael Austin,Howard University,NA,NA,Carmel Raz,Columbia University,"Anne Young's 'Musical Games' (1801): Music Theory, Gender, and Game Design"
Ludomusicology outside Video Games ,AMS,Grand Ballroom C,Michael Austin,Howard University,NA,NA,Tekla Babyak,Cornell University,"Music, Card Games, and the Play of Sensation: Kant's Ludomusical Aesthetics"
Ludomusicology outside Video Games ,AMS,Grand Ballroom C,Michael Austin,Howard University,NA,NA,Karen Cook,University of Hartford,Beyond (the) Halo: Chant in Video Games
Ludomusicology outside Video Games ,AMS,Grand Ballroom C,Michael Austin,Howard University,NA,NA,Kirsten Carithers,Northwestern University,Not Just Fun and Games: Musical Indeterminacy as User-Generated Content
"Musical Performers, Musical Works ",SMT,Pavilion Ballroom D,Victoria Tzotzkova,Harvard University,Eric Clarke,University of Oxford,Patrick Boyle,University of Victoria,The Jazz Process: Negotiating Error in Practice and Performance
"Musical Performers, Musical Works ",SMT,Pavilion Ballroom D,Victoria Tzotzkova,Harvard University,Eric Clarke,University of Oxford,John Lutterman,"University of Alaska, Anchorage",Werktreue vs. Praxistreue: On the Problems of Representing Historical Performing Practices in the Modern Concert Hall
"Musical Performers, Musical Works ",SMT,Pavilion Ballroom D,Victoria Tzotzkova,Harvard University,Eric Clarke,University of Oxford,Charles Neidich,"The Juilliard School/Queens College, CUNY",Knowledge and Imagination: On Performing Elliott Carter's Gra for B-flat Clarinet
"Musical Performers, Musical Works ",SMT,Pavilion Ballroom D,Victoria Tzotzkova,Harvard University,Eric Clarke,University of Oxford,Eric Clarke,University of Oxford,Knowing and Doing
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Darwin F. Sco,Princeton University,"A Rapid, International Tour d'horizon of Digital Scores in Late 2016"
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Christina Linklater and Sarah J. Adams,Harvard University,"Accessing Pre-1800 Music via RISM and Other Resource Portals: Discovery, Content, Synthesis"
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Deborah Campana,Oberlin College & Conservatory,Free in the Ether: Digital Scores for Music Research
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Bonna J. Boettcher,Cornell University,Collections of Digitized Scores from Publishers and Third-Party Providers: From Free to Fee
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Laura Stokes,Brown University,Containing the Dogfight: Digital Popular Sheet Music in the Curriculum
,AMS,Grand Ballroom D,John Shepard,"University of California, Berkeley",NA,NA,Kent Underwood,New York University,"Scores and Libraries in the World of Web-Based, Self-Publishing Composers"
Musical Artifacts ,AMS,Port McNeill,Eric Hung,Westminster Choir College of Rider University,NA,NA,Elizabeth Ann Lindau,"California State University, Long Beach",Music Re-materialized: The Revival of the 78
Musical Artifacts ,AMS,Port McNeill,Eric Hung,Westminster Choir College of Rider University,NA,NA,Amy Coddington,University of Virginia,Rap's Merchandise: How Commodified Musical Artifacts Affect Historical Narratives
Musical Artifacts ,AMS,Port McNeill,Eric Hung,Westminster Choir College of Rider University,NA,NA,Loren Kajikawa,University of Oregon,Art of Facts: Reconstructing Early Hip Hop Performance
Musical Artifacts ,AMS,Port McNeill,Eric Hung,Westminster Choir College of Rider University,NA,NA,Deirdre Morgan,University of London,The Anatomy of Style: Playing Technique as Musical Artifact
Musical Artifacts ,AMS,Port McNeill,Eric Hung,Westminster Choir College of Rider University,NA,NA,Tim Sterner Miller,University of Wisconsin-Milwaukee,Visiting a Pedal Steel Graveyard: Instruments and the Valuation of Popular Music Artifacts
Musical Significations ,SMT,Pavilion Ballroom C,Judith Lochhead,Stony Brook University,NA,NA,Bruno Alcalde,Northwestern University,Signification in Plurality: A Typology of Chimeric Environments in Polystylistic Music of the Post-1950s
Musical Significations ,SMT,Pavilion Ballroom C,Judith Lochhead,Stony Brook University,NA,NA,Aaron Harcus,"Graduate Center, CUNY",Between Sign and Convention: On the Phenomenology of Modernist Musical Topics
Nineteenth-Century Periods ,SMT,Pavilion Ballroom C,Poundie Burstein,"Hunter College / Graduate Center, CUNY",NA,NA,Stephen Rodgers,University of Oregon,Schubert's Idyllic Periods
Nineteenth-Century Periods ,SMT,Pavilion Ballroom C,Poundie Burstein,"Hunter College / Graduate Center, CUNY",NA,NA,Xieyi,Abby,Between Half and Perfect Cadences: Alternate Antecedent Tonicizations within Parallel Periods
Behind and Beyond the Iron Curtain ,AMS,Junior Ballroom A/B,Martha Sprigge,"University of California, Santa Barbara",NA,NA,Kevin Bartig,Michigan State University,Olin Downes and the Soviets
Behind and Beyond the Iron Curtain ,AMS,Junior Ballroom A/B,Martha Sprigge,"University of California, Santa Barbara",NA,NA,Elaine Kelly,University of Edinburgh,Cultivating the Middle East: The German Democratic Republic on Tour
Behind and Beyond the Iron Curtain ,AMS,Junior Ballroom A/B,Martha Sprigge,"University of California, Santa Barbara",NA,NA,Anicia Timberlake,Williams College,East German Listening Lessons: Pedagogy and the Idea of Musical Content in the German Democratic Republic
Behind and Beyond the Iron Curtain ,AMS,Junior Ballroom A/B,Martha Sprigge,"University of California, Santa Barbara",NA,NA,Joan Titus,University of North Carolina at Greensboro,The Arnshtam/Shostakovich Collaboration: Scoring Women in the Soviet War Film
Century ,AMS,Port McNeill,Sanna Pederson,University of Oklahoma,NA,NA,Ellen Exner,New England Conservatory of Music,Dr. Burney's Complaint and the Case of Mendelssohn's Great Passion
Century ,AMS,Port McNeill,Sanna Pederson,University of Oklahoma,NA,NA,Karen Leistra-Jones,Franklin & Marshall College,Hans von BÃ¼low's Gospel of Beethoven
Century ,AMS,Port McNeill,Sanna Pederson,University of Oklahoma,NA,NA,Fabio Morabito,King's College London,"Replacing Haydn: Luigi Cherubini's 'affair EsterhÃ¡zy,' 1810â€“11"
Century ,AMS,Port McNeill,Sanna Pederson,University of Oklahoma,NA,NA,Reuben Phillips,Princeton University,Burying Brahms: Vienna's EhrengrÃ¤ber for Composers and the Fashioning of a City's Self-Image
England ,AMS,Pavilion Ballroom A,Jeanice Brooks,University of Southampton,NA,NA,Bethany Cencer,SUNY Potsdam,Dealing with Capitalism: Card Decks and the Circulation of Portable Music in Georgian England
England ,AMS,Pavilion Ballroom A,Jeanice Brooks,University of Southampton,NA,NA,Katelyn Clark,University of Toronto,The Myrtle of Venus and Bacchus's Vine at London's Anacreontic Society
England ,AMS,Pavilion Ballroom A,Jeanice Brooks,University of Southampton,NA,NA,Alison DeSimone,University of Missouri-Kansas City,'For the Benefit Of . . .': Italian Opera and the Establishment of the Singer's Benefit in Early Eighteenth-Century Britain
England ,AMS,Pavilion Ballroom A,Jeanice Brooks,University of Southampton,NA,NA,Sarah F. Williams,University of South Carolina,Traveling Music and Theatrics: Jemmy LaRoche and John Eccles' 'Raree Show'
Finding Voice in Popular Music ,AMS,Grand Ballroom A,Nina Eidsheim,"University of California, Los Angeles",NA,NA,Andrew Flory,Carleton College,"'She Needs Me': Marvin Gaye, Crooning, and Vocal Agency at Motown"
Finding Voice in Popular Music ,AMS,Grand Ballroom A,Nina Eidsheim,"University of California, Los Angeles",NA,NA,Mark Burford,Reed College,Mahalia Jackson's Class Politics of Voice
Finding Voice in Popular Music ,AMS,Grand Ballroom A,Nina Eidsheim,"University of California, Los Angeles",NA,NA,Maureen Mahon,New York University,Not Like a Girl: Tina Turner's Vocal Sound and Rock and Roll Success
"Frames, Fantasia, and Formal Functions ",SMT,Pavilion Ballroom D,William Caplin,McGill University,NA,NA,Catrina S. Kim,"Eastman School of Music, University of Rochester",Mendelssohn's Formal Frames: Multi-Stage and Recurring Introductions
"Frames, Fantasia, and Formal Functions ",SMT,Pavilion Ballroom D,William Caplin,McGill University,NA,NA,Christopher Brody,"Eastman School of Music, University of Rochester","Thematic Design and Tonal Structure in the Viennese String Quartet Minuet, circa 1770: Haydn and the"
"Frames, Fantasia, and Formal Functions ",SMT,Pavilion Ballroom D,William Caplin,McGill University,NA,NA,RenÃ© Rusch,University of Michigan,"The Four-Key Exposition? Schubert's Sonata Forms, the Fantasia, and Questions of Formal Coherence"
"Frames, Fantasia, and Formal Functions ",SMT,Pavilion Ballroom D,William Caplin,McGill University,NA,NA,Graham G. Hun,University of Texas at Arlington,Diverging Subordinate Themes and Internal Transitions: Assessing Internal Modulations in Three-Key Expositions
Motet ,AMS,Grand Ballroom B,Emma Dillon,King's College London,NA,NA,Catherine Bradley,Stony Brook University,Mini Clausulae and the Magnus liber organi
Motet ,AMS,Grand Ballroom B,Emma Dillon,King's College London,NA,NA,AlÃ¨xandros Maria Hatzikiriakos,University of Rome-Sapienza,"The Chansonnier du Roi, Naples, and the Geography of Thirteenth-Century Music"
Motet ,AMS,Grand Ballroom B,Emma Dillon,King's College London,NA,NA,Thomas B. Payne,College of William & Mary,"A Conductus, an Organum, and a Very Poor Loser: Philip the Chancellor, PÃ©rotin, and the Paris Bishop's Election of 1227â€“28"
Motet ,AMS,Grand Ballroom B,Emma Dillon,King's College London,NA,NA,GaÃ«l Saint-Cricq,UniversitÃ© de Rouen,Motets in Songbooks and the Borderland Culture of the Thirteenth-Century Motet
,SMT,Junior Ballroom C,Susannah Clark,Harvard University,NA,NA,Maryam A. Moshaver,University of Alberta,"Rameau, the Subjective Body, and the Forms of Theoretical Representation"
,SMT,Junior Ballroom C,Susannah Clark,Harvard University,NA,NA,August Sheehy,Stony Brook University,A. B. Marx and the Politics of Sonata Form
,SMT,Junior Ballroom C,Susannah Clark,Harvard University,NA,NA,Rodney Garrison,SUNY Fredonia,Schenker's Elucidations on Unfolding Compound
,SMT,Junior Ballroom C,Susannah Clark,Harvard University,NA,NA,Ãine Heneghan,University of Michigan,Rethinking Repetition: Schoenberg and the 'endless reshaping of a basic shape'
Classical Music on the Big Screen ,AMS,Grand Ballroom C,Mary Simonson,Colgate University,NA,NA,Erin Brooks,SUNY Potsdam,Movies at the Met? Space and Meaning in Early Film Screenings
Classical Music on the Big Screen ,AMS,Grand Ballroom C,Mary Simonson,Colgate University,NA,NA,Olga Haldey,University of Maryland,'Bach Is a Great Responsibility': the B-minor Mass
Classical Music on the Big Screen ,AMS,Grand Ballroom C,Mary Simonson,Colgate University,NA,NA,Christy Thomas,Bates College,"'A Combination Made for Experiment': Casa Ricordi, Aida, and Opera on Screen in 1911"
Classical Music on the Big Screen ,AMS,Grand Ballroom C,Mary Simonson,Colgate University,NA,NA,Danielle Ward-Griffin,Christopher Newport University,As Seen on TV: Putting the NBC Opera Theatre on Stage
The Reach of Humanistic Learning ,AMS,Port Alberni,John McKay,University of South Carolina,NA,NA,Nicholas Johnson,Butler University,Johannes Kepler's Astro-Musical Soul and Early Modern Speculative Music Theory
The Reach of Humanistic Learning ,AMS,Port Alberni,John McKay,University of South Carolina,NA,NA,Sarah Koval,University of Toronto,'Pills to Purge Melancholy': The Restorative Power of Songs in Restoration England
The Reach of Humanistic Learning ,AMS,Port Alberni,John McKay,University of South Carolina,NA,NA,Loren Ludwig,University of Virginia,'Marketh it well': William Bathe's Table (1596) and Experimental Practice
