session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Andrew Mead,Indiana University,Between Innocence and Experience: How Analysis Might or Might Not Have Affected My Hearing of Milton Babbitt's Music
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Robert Morris,"Eastman School of Music, University of Rochester",Listening to Babbitt's Occasional Variations
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Joseph N. Straus,"Graduate Center, CUNY",Octave Doubling in Babbitt's Swan Song no. 1
Celebration ,SMT,Pavilion Ballroom C,Zachary Bernstein,"Eastman School of Music, University of Rochester",NA,NA,Anton Vishio,William Paterson University,Babbitt via Feldman: Surfaces of Echoes and Reflection
Meters in Global Perspective ,SMT,Junior Ballroom C,Noriko Manabe,Temple University,NA,NA,Chris Stover,The New School,Timeline Spaces: A Theory of Temporal Process in African Drum/Dance Music
Meters in Global Perspective ,SMT,Junior Ballroom C,Noriko Manabe,Temple University,NA,NA,Fernando Benadon,American University,Polymetric Phrasing in Rumba's Quinto
Meters in Global Perspective ,SMT,Junior Ballroom C,Noriko Manabe,Temple University,NA,NA,Daniel Goldberg,Yale University,What's the Meter of Elenino Horo? Rhythm and Timing in Drumming for a Bulgarian Folk Dance
Meters in Global Perspective ,SMT,Junior Ballroom C,Noriko Manabe,Temple University,NA,NA,Peter Selinsky,Yale University,Conceptualizing Meter in Early Indojazz
Poster Presentations ,AMS,Gulf Islands B/C/D,Roe-Min Kok,McGill University,Gavin Williams,University of Cambridge,Denise Odello,University of Minnesota,"Tradition, Audience, and Performance Style in Collegiate Marching Musical Performance"
Poster Presentations ,AMS,Gulf Islands B/C/D,Roe-Min Kok,McGill University,Gavin Williams,University of Cambridge,"Dana Gorzelany-Mostak, Mark Misinco, Cannon McClain, and Sarah Kitts",Georgia College,Trail Trax: A Campaign Music Database
Poster Presentations ,AMS,Gulf Islands B/C/D,Roe-Min Kok,McGill University,Gavin Williams,University of Cambridge,Mia Tootill,Cornell University,Mapping Paris Theaters: A Digital Dissertation Appendix
Poster Presentations ,AMS,Gulf Islands B/C/D,Roe-Min Kok,McGill University,Gavin Williams,University of Cambridge,Erin Johnson-Williams,Trinity Laban Conservatoire of Music and Dance,Singing of Lovedale in London: Mobilizing the Archival Imaginary
Technologies of the Avant-Garde ,AMS,Grand Ballroom C,Sumanth Gopinath,University of Minnesota,NA,NA,Jonathan Goldman,University of Montreal,"Of Doubles, Groups and Rhymes: Spatialized Works and the Artistic Response to Sound Technology"
Technologies of the Avant-Garde ,AMS,Grand Ballroom C,Sumanth Gopinath,University of Minnesota,NA,NA,Madison Heying,"University of California, Santa Cruz","The Coding of Community: Carla Scaletti, Kyma, and Community Formation in Computer Music"
