session_title,association,location,session_chair_name,session_chair_affiliation,session_respondent_name,session_respondent_affiliation,presenter_name,presenter_affiliation,presentation_title,year
Early Modern Song ,AMS,W: 102 E,Jesse Rodin,Stanford University,NA,NA,Jane Hatter,McGill University,"Plorer, gemir, crier: Musical Mourning and the Composer",2014
Early Modern Song ,AMS,W: 102 E,Jesse Rodin,Stanford University,NA,NA,Clare Bokulich,Stanford University,A Song within a Motet within a Mass: Josquin's Tu solus and Generic Nesting in Fifteenth-Century Music,2014
Early Modern Song ,AMS,W: 102 E,Jesse Rodin,Stanford University,NA,NA,Cory Gavito,Oklahoma City University,Naming the Nameless: Giovanni Stefani's Anonymous Songbook Anthologies and Their Concordant Sources,2014
Hearing Ecologies ,AMS,W: 102 C,Holly Watkins,"Eastman School of Music, University of Rochester",NA,NA,Jonathan Hicks,King's College London,"London Promenades, ca. 1840",2014
Hearing Ecologies ,AMS,W: 102 C,Holly Watkins,"Eastman School of Music, University of Rochester",NA,NA,James Deaville,Carleton University,"Wagner, Hearing Loss, and the Urban Soundscape of Late Nineteenth-Century Germany",2014
Hearing Ecologies ,AMS,W: 102 C,Holly Watkins,"Eastman School of Music, University of Rochester",NA,NA,David Trippe,University of Bristol,From Distant Sounds to Aeolian Ears: Towards a Theory of Auditory Prosthesis,2014
Hearing Ecologies ,AMS,W: 102 C,Holly Watkins,"Eastman School of Music, University of Rochester",NA,NA,Kyle Devine,City University London,"Decomposed: The Political Ecology of Music, from Shellac to Plastic",2014
Hemispheric Dialogues ,AMS,W: 101 A,Carol A. Hess,"University of California, Davis",NA,NA,Alyson Payne,Lake Michigan College,"'The Wozzeck of the Western Hemisphere': Alberto Ginastera's Don Rodrigo, the Rockefellers, and the Inter-American Sound",2014
Hemispheric Dialogues ,AMS,W: 101 A,Carol A. Hess,"University of California, Davis",NA,NA,Miguel J. Ramirez,Western Kentucky University,"From Dachau to La Paz: Erich Eisner and the Confluence of Jewish, Austro-German, and Bolivian Music Traditions",2014
Hemispheric Dialogues ,AMS,W: 101 A,Carol A. Hess,"University of California, Davis",NA,NA,Robert Riggs,University of Mississippi,The Leon Kirchner/Roger Sessions Correspondence,2014
Hemispheric Dialogues ,AMS,W: 101 A,Carol A. Hess,"University of California, Davis",NA,NA,Eric Smigel,San Diego State University,Postcards from California: The 'Valentine Manifesto' in James Tenney's Postal Pieces,2014
"Performing, Learning, Citizenship ",AMS,H: Walker,Charles McGuire,Oberlin College,NA,NA,Mary Channen Caldwell,Wichita State University,"Performing Learning: Grammar, Theology, and Singing in the Middle Ages",2014
"Performing, Learning, Citizenship ",AMS,H: Walker,Charles McGuire,Oberlin College,NA,NA,Catherine Schwartz,McGill University,Self-Realization and the Politics of Modern Voice Production: On Dr. Pierre Bonnier and 'Holistic' Vocal Techniques in Fin-de-si̬cle France,2014
"Performing, Learning, Citizenship ",AMS,H: Walker,Charles McGuire,Oberlin College,NA,NA,Kate Guthrie,University of Southampton,Democratizing Art: Music Education in Postwar Britain,2014
